utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
6091,6091,MOT,Liz,9,are you putting all those away ?,are you putting all those away ?,6,6,8,9,9,8,6,Liz/020202.cha,2818,26.067,they hurt if you stand on them don't they ?,mind your toes . they hurt if you stand on them don't they ?,right okay . mind your toes . they hurt if you stand on them don't they ?
6092,6092,MOT,Liz,9,shall I help you ?,shall I help you ?,4,4,4,4,4,4,4,Liz/020202.cha,2824,26.067,are you putting all those away ?,they hurt if you stand on them don't they ? are you putting all those away ?,mind your toes . they hurt if you stand on them don't they ? are you putting all those away ?
6093,6093,MOT,Liz,9,pardon ?,pardon ?,1,1,2,2,2,2,1,Liz/020202.cha,2834,26.067,shall I help you ?,are you putting all those away ? shall I help you ?,they hurt if you stand on them don't they ? are you putting all those away ? shall I help you ?
6094,6094,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,2847,26.067,pardon ?,shall I help you ? pardon ?,are you putting all those away ? shall I help you ? pardon ?
6095,6095,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,2856,26.067,yeah .,pardon ? yeah .,shall I help you ? pardon ? yeah .
6096,6096,MOT,Liz,9,"no don't put them in there love , will you ?",no don't put them in there love will you ?,9,11,9,11,9,9,9,Liz/020202.cha,2863,26.067,yeah .,yeah . yeah .,pardon ? yeah . yeah .
6097,6097,MOT,Liz,9,because they're Anna's toys those .,because they're Anna's toys those .,5,7,7,10,7,7,5,Liz/020202.cha,2866,26.067,no don't put them in there love will you ?,yeah . no don't put them in there love will you ?,yeah . yeah . no don't put them in there love will you ?
6098,6098,MOT,Liz,9,yeah bring them back here love please .,yeah bring them back here love please .,7,7,7,10,7,7,7,Liz/020202.cha,2872,26.067,because they're Anna's toys those .,no don't put them in there love will you ? because they're Anna's toys those .,yeah . no don't put them in there love will you ? because they're Anna's toys those .
6099,6099,MOT,Liz,9,no I think we needta leave them here .,no I think we needta leave them here .,8,8,9,11,9,9,8,Liz/020202.cha,2878,26.067,yeah bring them back here love please .,because they're Anna's toys those . yeah bring them back here love please .,no don't put them in there love will you ? because they're Anna's toys those . yeah bring them back here love please .
6100,6100,MOT,Liz,9,because they're Anna's .,because they're Anna's .,3,5,5,7,5,5,3,Liz/020202.cha,2881,26.067,no I think we needta leave them here .,yeah bring them back here love please . no I think we needta leave them here .,because they're Anna's toys those . yeah bring them back here love please . no I think we needta leave them here .
6101,6101,MOT,Liz,9,bring them back please .,bring them back please .,4,4,4,5,4,4,4,Liz/020202.cha,2887,26.067,because they're Anna's .,no I think we needta leave them here . because they're Anna's .,yeah bring them back here love please . no I think we needta leave them here . because they're Anna's .
