"utt_id","utt_id_role","speaker","child_id","session_id","utterance","utterance_clean","word_count","morph_count","utt_syllables_basic","utt_syllables_lenient","utt_syllables_strictY","utt_syllables_le","n_alpha_words","file","line_no"
22857,21673,"MOT","Violet",43,"the f@l one ?","the one?",2,3,2,2,2,2,2,"Violet/030119.cha",1827
22858,21674,"MOT","Violet",43,"what are you guys talking about ? 1058812_1060263","what are you guys talking about?",6,6,8,8,8,8,6,"Violet/030119.cha",1830
22859,21675,"MOT","Violet",43,"f@l one ? 1060263_1061968","one?",1,2,1,1,1,1,1,"Violet/030119.cha",1833
22860,21676,"MOT","Violet",43,"oatmeal .","oatmeal.",1,1,2,2,2,2,1,"Violet/030119.cha",1843
22861,1185,"FAT","Violet",43,"fresh xxx .","fresh.",1,1,1,1,1,1,1,"Violet/030119.cha",1857
22862,21677,"MOT","Violet",43,"gotta love oatmeal . 1078048_1081588","gotta love oatmeal.",3,5,5,6,5,5,3,"Violet/030119.cha",1862
22863,1186,"FAT","Violet",43,"oh Maxwell . 1100335_1101852","oh Maxwell.",2,2,3,3,3,3,2,"Violet/030119.cha",1873
22864,21678,"MOT","Violet",43,"Violet , where are you gonna sit ? 1113743_1115492","Violet where are you gonna sit?",6,8,8,9,8,8,6,"Violet/030119.cha",1887
22865,21679,"MOT","Violet",43,"you wanna sit at the heated seat ?","you wanna sit at the heated seat?",7,9,9,9,9,10,7,"Violet/030119.cha",1893
22866,21680,"MOT","Violet",43,"I know , we were looking at that circus book the other day .","I know we were looking at that circus book the other day.",12,14,15,16,15,15,12,"Violet/030119.cha",1902
22867,21681,"MOT","Violet",43,"here , here you gotta keep that on while you eat . 1127712_1130225","here here you gotta keep that on while you eat.",10,13,11,14,11,11,10,"Violet/030119.cha",1905
22868,21682,"MOT","Violet",43,"here . 1130225_1131032","here.",1,1,1,2,1,1,1,"Violet/030119.cha",1909
22869,21683,"MOT","Violet",43,"you gotta keep that on .","you gotta keep that on.",5,7,6,6,6,6,5,"Violet/030119.cha",1915
22870,21684,"MOT","Violet",43,"yeah but you know who's [= who is] on there ? 1134898_1137893","yeah but you know who's on there?",7,8,7,8,7,7,7,"Violet/030119.cha",1921
22871,21685,"MOT","Violet",43,"crazy Willy .","crazy Willy.",2,2,4,4,4,4,2,"Violet/030119.cha",1924
22872,21686,"MOT","Violet",43,"oh , is that who you're talking about ? 1139625_1141292","oh is that who you're talking about?",7,9,9,10,9,9,7,"Violet/030119.cha",1930
22873,21687,"MOT","Violet",43,"oh , I hooked ya [: you] . 1141292_1143302","oh I hooked ya.",4,6,5,5,5,5,4,"Violet/030119.cha",1933
22874,21688,"MOT","Violet",43,"okay , bean . 1143302_1144767","okay bean.",2,3,3,3,4,3,2,"Violet/030119.cha",1936
22875,21689,"MOT","Violet",43,"sit down , missus . 1144767_1146290","sit down missus.",3,4,4,4,4,4,3,"Violet/030119.cha",1939
22876,21690,"MOT","Violet",43,"you get the warm seat , see ?","you get the warm seat see?",6,7,6,6,6,6,6,"Violet/030119.cha",1950
22877,1187,"FAT","Violet",43,"and you get the cool spoon . 1155758_1158760","and you get the cool spoon.",6,6,6,6,6,6,6,"Violet/030119.cha",1958
22878,1188,"FAT","Violet",43,"do you need an ice cube , is this hot ?","do you need an ice cube is this hot?",9,10,9,10,9,9,9,"Violet/030119.cha",1965
22879,1189,"FAT","Violet",43,"here , hold on one second .","here hold on one second.",5,6,6,7,6,6,5,"Violet/030119.cha",1975
22880,21691,"MOT","Violet",43,"I'll get you an ice cube .","I'll get you an ice cube.",6,7,6,7,6,6,6,"Violet/030119.cha",1983
22881,21692,"MOT","Violet",43,"mm .","mm.",1,1,1,1,1,1,1,"Violet/030119.cha",2011
22882,21693,"MOT","Violet",43,"do you want an ice cube , Max ? 1187278_1188365","do you want an ice cube Max?",7,8,7,8,7,7,7,"Violet/030119.cha",2014
22883,21694,"MOT","Violet",43,"Max , here .","Max here.",2,3,2,3,2,2,2,"Violet/030119.cha",2018
22884,21695,"MOT","Violet",43,"violent , spin it around with your spoon .","violent spin it around with your spoon.",7,8,9,9,9,9,7,"Violet/030119.cha",2024
22885,21696,"MOT","Violet",43,"you probably don't need that whole ice cube Violet . 1215358_1220072","you probably don't need that whole ice cube Violet.",9,10,12,14,12,12,9,"Violet/030119.cha",2041
22886,21697,"MOT","Violet",43,"cause it's , &-uh +... 1220072_1223232","cause it's uh.",3,5,3,4,3,3,3,"Violet/030119.cha",2048
22887,21698,"MOT","Violet",43,"it wasn't too +... 1223232_1225458","it wasn't too.",3,6,3,3,3,3,3,"Violet/030119.cha",2053
22888,21699,"MOT","Violet",43,"hot , really . 1225458_1226657","hot really.",2,3,3,3,3,3,2,"Violet/030119.cha",2056
22889,21700,"MOT","Violet",43,"mm , gonna be nice and cinnamony . 1235457_1238447","mm gonna be nice and cinnamony.",6,8,10,11,10,10,6,"Violet/030119.cha",2067
22890,21701,"MOT","Violet",43,"you like cinnamony ?","you like cinnamony?",3,3,6,7,6,6,3,"Violet/030119.cha",2074
22891,21702,"MOT","Violet",43,"yeah .","yeah.",1,1,1,1,1,1,1,"Violet/030119.cha",2082
22892,21703,"MOT","Violet",43,"garbage day . 1246130_1249350","garbage day.",2,2,3,4,3,3,2,"Violet/030119.cha",2087
22893,21704,"MOT","Violet",43,"okay . 1253697_1258693","okay.",1,1,2,2,3,2,1,"Violet/030119.cha",2097
22894,21705,"MOT","Violet",43,"need help with yours ?","need help with yours?",4,4,4,4,4,4,4,"Violet/030119.cha",2102
