utt_id,child_id,utterance,word_count,file,line_no
493,kif,momma (.) xxx down (.) .,3,kif.cha,4747
494,kif,I wanna get down now (.) .,5,kif.cha,4751
495,kif,don't xxx o:h (.) I do:n't think I'm gonna get down (.) .,12,kif.cha,4754
496,kif,I:uh [= negative] .,2,kif.cha,4760
497,kif,again (.) ?,1,kif.cha,4766
498,kif,I .,1,kif.cha,4772
499,kif,xxx xxx .,2,kif.cha,4971
500,kif,six [!] seven [!] .,2,kif.cha,5022
501,kif,mom (.) I don't know where my coat is .,8,kif.cha,5044
502,kif,"I said , I don't know where my [//] oh .",8,kif.cha,5050
503,kif,hi &~deeahs (.) .,2,kif.cha,5062
504,kif,mommy you know if xxx ?,5,kif.cha,5069
505,kif,are you gonna put your coat on or stay here ?,10,kif.cha,5075
506,kif,Ma would you wanna see what I can do ?,9,kif.cha,5081
507,kif,awright [: alright] (.) no let hold lands [: hands] &~wu to the park .,9,kif.cha,5085
508,kif,xxx (.) &=laugh &~azai &~dum &=chews sit down on that .,9,kif.cha,5088
509,kif,me: .,1,kif.cha,5095
510,kif,(.) no:t xxx mine .,4,kif.cha,5105
511,kif,cause xxx I'm the xxx one (.) .,6,kif.cha,5108
512,kif,Ma [!] those are pilot sticks .,5,kif.cha,5116
513,kif,0 [=! sound of effort and grunts] .,0,kif.cha,5134
514,kif,what ?,1,kif.cha,5164
515,kif,&-um (.) .,1,kif.cha,5379
516,kif,it's a (.) plant .,3,kif.cha,5383
517,kif,yes .,1,kif.cha,5614
518,kif,no .,1,kif.cha,5626
519,kif,where (.) ?,1,kif.cha,5672
520,kif,n@l +...,2,kif.cha,5699
521,kif,n@l .,2,kif.cha,5702
522,kif,mhm .,1,kif.cha,5714
523,kif,you're not passing out cups (.) .,5,kif.cha,5753
524,kif,&~al &-um I prefer (p)re:fer Jason Jason Jason Kriegler an(d) Jason Samuels (.) .,13,kif.cha,5756
525,kif,you're passing out the cups .,5,kif.cha,5759
526,kif,an(d) Jason Jason Samuels is .,5,kif.cha,5762
527,kif,where are the cups ?,4,kif.cha,5765
528,kif,yes .,1,kif.cha,5771
529,kif,an(d) you know you know who's passing out the cookies too ?,11,kif.cha,5774
530,kif,"yes , an you're not passing out anything .",7,kif.cha,5780
531,kif,you're just s(up)pose(d) to sit down (.) an(d) my an(d) my mother's goinna [: going to] be [//] my mother's gonna help .,17,kif.cha,5783
532,kif,what ?,1,kif.cha,5789
533,kif,I don't hafta .,3,kif.cha,5810
