utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
37663,37643,MOT,Ethan,50,whoa !,whoa !,1,1,1,1,1,1,1,Ethan/021101.cha,3263,35.033,wanna try the potty for a minute ?,oops . wanna try the potty for a minute ?,oops ! oops . wanna try the potty for a minute ?
37664,37644,MOT,Ethan,50,you're gonna mix the Play_Doh together ?,you're gonna mix the Play_Doh together ?,7,7,10,11,11,10,7,Ethan/021101.cha,3267,35.033,whoa !,wanna try the potty for a minute ? whoa !,oops . wanna try the potty for a minute ? whoa !
37665,37645,MOT,Ethan,50,oh no: !,oh no !,2,2,2,2,2,2,2,Ethan/021101.cha,3270,35.033,you're gonna mix the Play_Doh together ?,whoa ! you're gonna mix the Play_Doh together ?,wanna try the potty for a minute ? whoa ! you're gonna mix the Play_Doh together ?
37666,37646,MOT,Ethan,50,plea:se !,plea:se !,2,1,2,2,2,2,2,Ethan/021101.cha,3273,35.033,oh no !,you're gonna mix the Play_Doh together ? oh no !,whoa ! you're gonna mix the Play_Doh together ? oh no !
37667,37647,MOT,Ethan,50,no: +//.,no .,1,2,1,1,1,1,1,Ethan/021101.cha,3276,35.033,plea:se !,oh no ! plea:se !,you're gonna mix the Play_Doh together ? oh no ! plea:se !
37668,37648,MOT,Ethan,50,then you won't be very happy . 2441020_2443505,then you won't be very happy,6,7,8,8,8,8,6,Ethan/021101.cha,3284,35.033,no .,plea:se ! no .,oh no ! plea:se ! no .
37669,37649,MOT,Ethan,50,oh . 2445241_2446248,oh,1,1,1,1,1,1,1,Ethan/021101.cha,3293,35.033,then you won't be very happy,no . then you won't be very happy,plea:se ! no . then you won't be very happy
37670,37650,MOT,Ethan,50,oh . 2446248_2447743,oh,1,1,1,1,1,1,1,Ethan/021101.cha,3296,35.033,oh,then you won't be very happy oh,no . then you won't be very happy oh
37671,37651,MOT,Ethan,50,oh .,oh .,1,1,1,1,1,1,1,Ethan/021101.cha,3299,35.033,oh,oh oh,then you won't be very happy oh oh
37672,37652,MOT,Ethan,50,"yeah , Play_Doh doesn't mix together very well , does it ?",yeah Play_Doh doesn't mix together very well does it ?,10,12,13,13,14,13,10,Ethan/021101.cha,3303,35.033,oh .,oh oh .,oh oh oh .
37673,37653,MOT,Ethan,50,you wanna do the flower thing ? 2456716_2458651,you wanna do the flower thing,6,7,8,8,8,8,6,Ethan/021101.cha,3309,35.033,yeah Play_Doh doesn't mix together very well does it ?,oh . yeah Play_Doh doesn't mix together very well does it ?,oh oh . yeah Play_Doh doesn't mix together very well does it ?
37674,37654,MOT,Ethan,50,"that's right , xxx .",that's right .,2,4,2,2,2,2,2,Ethan/021101.cha,3320,35.033,you wanna do the flower thing,yeah Play_Doh doesn't mix together very well does it ? you wanna do the flower thing,oh . yeah Play_Doh doesn't mix together very well does it ? you wanna do the flower thing
37675,37655,MOT,Ethan,50,you learned how to do it right .,you learned how to do it right .,7,8,8,8,8,8,7,Ethan/021101.cha,3323,35.033,that's right .,you wanna do the flower thing that's right .,yeah Play_Doh doesn't mix together very well does it ? you wanna do the flower thing that's right .
37676,37656,MOT,Ethan,50,"that's too much Play_Doh though , I think . 2468731_2471505",that's too much Play_Doh though I think,8,9,8,8,9,8,8,Ethan/021101.cha,3327,35.033,you learned how to do it right .,that's right . you learned how to do it right .,you wanna do the flower thing that's right . you learned how to do it right .
37677,37657,MOT,Ethan,50,"sweetie , can we sit at the table ?",sweetie can we sit at the table ?,7,8,7,9,7,8,7,Ethan/021101.cha,3331,35.033,that's too much Play_Doh though I think,you learned how to do it right . that's too much Play_Doh though I think,that's right . you learned how to do it right . that's too much Play_Doh though I think
37678,37658,MOT,Ethan,50,can we sit at the table and do it +/?,can we sit at the table and do it ?,9,10,9,10,9,10,9,Ethan/021101.cha,3339,35.033,sweetie can we sit at the table ?,that's too much Play_Doh though I think sweetie can we sit at the table ?,you learned how to do it right . that's too much Play_Doh though I think sweetie can we sit at the table ?
37679,37659,MOT,Ethan,50,"you stuffed it in there , didn't ya [: you] ? 2483263_2485271",you stuffed it in there didn't ya,7,11,8,9,8,8,7,Ethan/021101.cha,3346,35.033,can we sit at the table and do it ?,sweetie can we sit at the table ? can we sit at the table and do it ?,that's too much Play_Doh though I think sweetie can we sit at the table ? can we sit at the table and do it ?
37680,37660,MOT,Ethan,50,"xxx , good job .",good job .,2,3,2,2,2,2,2,Ethan/021101.cha,3355,35.033,you stuffed it in there didn't ya,can we sit at the table and do it ? you stuffed it in there didn't ya,sweetie can we sit at the table ? can we sit at the table and do it ? you stuffed it in there didn't ya
37681,37661,MOT,Ethan,50,"you're doing it all by yourself , it's growing and growing .",you're doing it all by yourself it's growing and growing .,10,13,13,14,13,13,10,Ethan/021101.cha,3358,35.033,good job .,you stuffed it in there didn't ya good job .,can we sit at the table and do it ? you stuffed it in there didn't ya good job .
37682,37662,MOT,Ethan,50,you're getting stronger . 2495385_2497311,you're getting stronger,3,4,5,6,5,5,3,Ethan/021101.cha,3361,35.033,you're doing it all by yourself it's growing and growing .,good job . you're doing it all by yourself it's growing and growing .,you stuffed it in there didn't ya good job . you're doing it all by yourself it's growing and growing .
37683,37663,MOT,Ethan,50,"xxx , wow , Ethan . 2497311_2500325",wow Ethan,2,4,3,3,3,3,2,Ethan/021101.cha,3364,35.033,you're getting stronger,you're doing it all by yourself it's growing and growing . you're getting stronger,good job . you're doing it all by yourself it's growing and growing . you're getting stronger
